# barcodes already looked up on Open Pet Food Facts (barcode;date;result) - delete a line to look it up again
0052742402109;2026-09-26;none
0052742402307;2026-09-26;none
0052742421605;2026-09-26;none
0052742428109;2026-09-26;photo
0052742519708;2026-09-26;none
0052742520001;2026-09-26;none
0052742520100;2026-09-26;none
0052742522005;2026-09-26;none
0052742522104;2026-09-26;none
0052742522401;2026-09-26;none
0052742528502;2026-09-26;none
0052742528809;2026-09-26;none
0052742567006;2026-09-26;photo
0052742614007;2026-09-26;none
0052742615103;2026-09-26;none
0052742665504;2026-09-26;none
0052742665801;2026-09-26;none
0052742752006;2026-09-26;none
0052742753805;2026-09-26;none
0052742754406;2026-09-26;none
0052742761008;2026-09-26;none
0052742761602;2026-09-26;none
0052742765303;2026-09-26;none
0052742770307;2026-09-26;photo
0052742803005;2026-09-26;none
0052742803609;2026-09-26;none
0052742803708;2026-09-26;rejected
0052742808901;2026-09-26;none
0052742809007;2026-09-26;none
0052742834405;2026-09-26;none
0052742864105;2026-09-26;none
0052742865409;2026-09-26;none
0052742865805;2026-09-26;none
0052742868806;2026-09-26;none
0052742869506;2026-09-26;photo
0052742873701;2026-09-26;none
0052742877006;2026-09-26;photo
0052742892702;2026-09-26;none
0052742911700;2026-09-26;none
0052742918303;2026-09-26;none
0052742918600;2026-09-26;photo
0052742918907;2026-09-26;none
0052742926407;2026-09-26;none
0052742926704;2026-09-26;none
0052742927107;2026-09-26;none
0052742927206;2026-09-26;none
0052742927404;2026-09-26;none
0052742933801;2026-09-26;none
0052742933900;2026-09-26;photo
0052742934907;2026-09-26;none
0052742935300;2026-09-26;photo
0052742945101;2026-09-26;none
0052742945309;2026-09-26;none
0052742945507;2026-09-26;none
0064992180126;2026-09-26;photo
0064992181604;2026-09-26;photo
0064992183127;2026-09-26;photo
0064992184124;2026-09-26;photo
0064992185121;2026-09-26;photo
0064992186128;2026-09-26;photo
0064992187200;2026-09-26;photo
0064992281182;2026-09-26;photo
0064992282189;2026-09-26;photo
0064992283186;2026-09-26;photo
0064992284183;2026-09-26;photo
0064992500207;2026-09-26;none
0064992501174;2026-09-26;none
0064992502201;2026-09-26;none
0064992510114;2026-09-26;none
0064992512200;2026-09-26;photo
0064992521110;2026-09-26;none
0064992521172;2026-09-26;none
0064992523206;2026-09-26;photo
0064992523343;2026-09-26;none
0064992525118;2026-09-26;photo
0064992525354;2026-09-26;none
0064992540357;2026-09-26;none
0064992541354;2026-09-26;none
0064992542351;2026-09-26;none
0064992543204;2026-09-26;none
0064992560171;2026-09-26;none
0064992561178;2026-09-26;none
0064992562175;2026-09-26;none
0064992570170;2026-09-26;none
0064992571207;2026-09-26;none
0064992572204;2026-09-26;none
0064992714284;2026-09-26;none
0064992714345;2026-09-26;none
0064992714413;2026-09-26;none
0064992714482;2026-09-26;photo
0064992714550;2026-09-26;none
0064992714628;2026-09-26;none
0064992714697;2026-09-26;none
0064992714765;2026-09-26;photo
0064992718848;2026-09-26;none
0064992718893;2026-09-26;none
0076344104575;2026-09-26;none
0076344104582;2026-09-26;none
0076344105459;2026-09-26;none
0076344105466;2026-09-26;none
0076344105534;2026-09-26;none
0076344105732;2026-09-26;none
0076344105749;2026-09-26;none
0076344105756;2026-09-26;none
0076344106401;2026-09-26;none
0076344106418;2026-09-26;none
0076344106425;2026-09-26;photo
0076344106661;2026-09-26;none
0076344106678;2026-09-26;none
0076344106685;2026-09-26;none
0076344107149;2026-09-26;none
0076344107163;2026-09-26;none
0076344107231;2026-09-26;none
0076344107255;2026-09-26;none
0076344107279;2026-09-26;photo
0076344107385;2026-09-26;none
0076344107477;2026-09-26;none
0076344107491;2026-09-26;none
0076344107507;2026-09-26;none
0076344107514;2026-09-26;none
0076344107521;2026-09-26;none
0076344107774;2026-09-26;none
0076344107873;2026-09-26;none
0076344107996;2026-09-26;none
0076344108092;2026-09-26;none
0076344108115;2026-09-26;none
0076344108122;2026-09-26;photo
0076344108139;2026-09-26;none
0076344108856;2026-09-26;none
0076344114536;2026-09-26;none
0076344115434;2026-09-26;none
0076344115502;2026-09-26;none
0076344115724;2026-09-26;none
0076344116325;2026-09-26;none
0076344116608;2026-09-26;photo
0076344118459;2026-09-26;photo
0076344118466;2026-09-26;none
0076344118473;2026-09-26;photo
0076344118480;2026-09-26;photo
0076344118497;2026-09-26;none
0076344118541;2026-09-26;none
0076344118701;2026-09-26;none
3065890043411;2026-09-26;none
3065890100121;2026-09-26;none
3065890108523;2026-09-26;photo
3065890125391;2026-09-26;rejected
3065890126923;2026-09-26;none
3065890133457;2026-09-26;none
3065890135796;2026-09-26;none
3065890135987;2026-09-26;none
3065890136007;2026-09-26;photo
3065890137295;2026-09-26;none
3065890142954;2026-09-26;none
3065890149830;2026-09-26;none
3065890152618;2026-09-26;none
3065890153585;2026-09-26;photo
3065890153660;2026-09-26;photo
3065890154988;2026-09-26;none
3065890155015;2026-09-26;none
3065890155060;2026-09-26;none
3065890155312;2026-09-26;none
3065890155336;2026-09-26;none
3065890155350;2026-09-26;none
3065890156869;2026-09-26;none
3065890158009;2026-09-26;none
3065890158023;2026-09-26;none
3065890159839;2026-09-26;none
3182550400374;2026-09-26;none
3182550402149;2026-09-26;photo
3182550402293;2026-09-26;photo
3182550702607;2026-09-26;photo
3182550703147;2026-09-26;none
3182550704618;2026-09-26;photo
3182550704670;2026-09-26;none
3182550706810;2026-09-26;photo
3182550707060;2026-09-26;none
3182550707305;2026-09-26;photo
3182550707367;2026-09-26;none
3182550708180;2026-09-26;photo
3182550708197;2026-09-26;none
3182550708203;2026-09-26;photo
3182550710688;2026-09-26;none
3182550710862;2026-09-26;photo
3182550710923;2026-09-26;none
3182550710992;2026-09-26;photo
3182550711005;2026-09-26;none
3182550711036;2026-09-26;none
3182550711043;2026-09-26;photo
3182550711067;2026-09-26;photo
3182550711104;2026-09-26;none
3182550711166;2026-09-26;none
3182550711395;2026-09-26;photo
3182550715614;2026-09-26;photo
3182550715737;2026-09-26;photo
3182550716857;2026-09-26;photo
3182550717120;2026-09-26;photo
3182550717175;2026-09-26;photo
3182550717335;2026-09-26;photo
3182550717687;2026-09-26;photo
3182550719759;2026-09-26;none
3182550719797;2026-09-26;photo
3182550721219;2026-09-26;photo
3182550721394;2026-09-26;photo
3182550721721;2026-09-26;photo
3182550722308;2026-09-26;photo
3182550722544;2026-09-26;photo
3182550722575;2026-09-26;none
3182550722605;2026-09-26;photo
3182550723664;2026-09-26;none
3182550723695;2026-09-26;none
3182550724142;2026-09-26;none
3182550725507;2026-09-26;photo
3182550728102;2026-09-26;photo
3182550733441;2026-09-26;none
3182550733502;2026-09-26;none
3182550736053;2026-09-26;none
3182550737555;2026-09-26;photo
3182550739382;2026-09-26;none
3182550743174;2026-09-26;photo
3182550743228;2026-09-26;photo
3182550743433;2026-09-26;photo
3182550743471;2026-09-26;photo
3182550743501;2026-09-26;photo
3182550743709;2026-09-26;photo
3182550743938;2026-09-26;none
3182550743952;2026-09-26;none
3182550748148;2026-09-26;none
3182550748292;2026-09-26;none
3182550748315;2026-09-26;none
3182550748322;2026-09-26;none
3182550749473;2026-09-26;none
3182550751261;2026-09-26;none
3182550751308;2026-09-26;photo
3182550751995;2026-09-26;photo
3182550752404;2026-09-26;photo
3182550756402;2026-09-26;photo
3182550758857;2026-09-26;photo
3182550760225;2026-09-26;none
3182550760232;2026-09-26;photo
3182550760317;2026-09-26;photo
3182550760324;2026-09-26;photo
3182550760393;2026-09-26;none
3182550760423;2026-09-26;none
3182550761475;2026-09-26;none
3182550761765;2026-09-26;none
3182550761840;2026-09-26;none
3182550761895;2026-09-26;none
3182550761918;2026-09-26;none
3182550761925;2026-09-26;photo
3182550761970;2026-09-26;photo
3182550764544;2026-09-26;photo
3182550765183;2026-09-26;none
3182550765206;2026-09-26;photo
3182550765350;2026-09-26;none
3182550765398;2026-09-26;none
3182550767194;2026-09-26;none
3182550767323;2026-09-26;none
3182550767644;2026-09-26;none
3182550768474;2026-09-26;photo
3182550768658;2026-09-26;none
3182550770941;2026-09-26;photo
3182550771030;2026-09-26;none
3182550771047;2026-09-26;none
3182550771054;2026-09-26;photo
3182550771115;2026-09-26;none
3182550771153;2026-09-26;photo
3182550771207;2026-09-26;none
3182550771214;2026-09-26;none
3182550771221;2026-09-26;none
3182550771245;2026-09-26;photo
3182550771290;2026-09-26;photo
3182550771320;2026-09-26;none
3182550771719;2026-09-26;none
3182550771740;2026-09-26;none
3182550773829;2026-09-26;photo
3182550773850;2026-09-26;none
3182550778725;2026-09-26;none
3182550778770;2026-09-26;none
3182550778787;2026-09-26;none
3182550778831;2026-09-26;none
3182550780896;2026-09-26;none
3182550780919;2026-09-26;none
3182550780926;2026-09-26;none
3182550780940;2026-09-26;none
3182550780964;2026-09-26;none
3182550781992;2026-09-26;none
3182550782005;2026-09-26;none
3182550782012;2026-09-26;none
3182550782036;2026-09-26;none
3182550782043;2026-09-26;none
3182550782074;2026-09-26;none
3182550782203;2026-09-26;photo
3182550784351;2026-09-26;none
3182550784436;2026-09-26;none
3182550784511;2026-09-26;photo
3182550785723;2026-09-26;none
3182550787826;2026-09-26;photo
3182550787857;2026-09-26;none
3182550787963;2026-09-26;none
3182550793001;2026-09-26;photo
3182550793506;2026-09-26;none
3182550793568;2026-09-26;photo
3182550793575;2026-09-26;photo
3182550793704;2026-09-26;photo
3182550793841;2026-09-26;none
3182550797375;2026-09-26;none
3182550798136;2026-09-26;none
3182550798945;2026-09-26;photo
3182550799478;2026-09-26;none
3182550799638;2026-09-26;photo
3182550802734;2026-09-26;photo
3182550805155;2026-09-26;photo
3182550805216;2026-09-26;none
