"ean";"naam";"merk";"doeldier";"voertype";"levensfase";"categorie";"ingredienten";"analyse";"verpakking";"prijs";"bol_url";"afbeelding";"bron";"url";"opmerking"
"8713595640088";"Prins Vitalcare Resist Calm Gevogelte";"Prins";"Kat";"Droogvoer";"Volwassen";"Volledig";"Samenstelling: gedehydreerd gevogelte (31,0%), maïs, maïsgluten, gevogeltevet, rijst, heel eipoeder (3,5%), rundvet, gedroogde cichoreipulp, cellulose, kippenleverhydrolysaat, lijnzaadolie, gist, visolie (0,5%), resist kruiden (eleutherococci radix, lycii chinense fructus, polygoni multiflori rad, ganodermatis fructificat, schizandrae fructus, acanthopanacis radicis c, dipsaci radix, cuscutae semen, curculiginis rhizoma, dioscoreae oppositae rh) (0,05%), inuline.";"Analytische bestanddelen: Vocht 9,0%, Ruw eiwit 32,0%, Ruw vet 20,0%, Ruwe as 8,0%, Ruwe celstof 3,0%, Linolzuur 3,7%. Mineralen: Calcium 1,5%, Fosfor 1,1%, Kalium 0,7%, Magnesium 0,1%, Natrium 0,5%.";"";;;;"scraped";"https://www.petsplace.nl/prins-vitalcare-resist-calm-kattenvoer-m-8713595640088-pps";
"8713595710149";"Prins Vitalcare Senior 12+ - Gevogelte 4 kg";"Prins";"Kat";"Droogvoer";"Senior";"Volledig";"Samenstelling: maïs, rijst, maïsgluten, gedehydreerd gevogelte (14,0%), dierlijk eiwitextract, gevogeltevet, gedroogde cichoreipulp, cellulose, heel eipoeder (2,0%), rundvet, visolie (1,5%), kippenleverhydrolysaat, lijnzaadolie, gist, gistextract (bron van bèta-glucanen) (0,05%), resist kruiden (eleutherococci radix, lycii chinense fructus, polygoni multiflori rad, ganodermatis fructificat, schizandrae fructus, acanthopanacis radicis c, dipsaci radix, cuscutae semen, curculiginis rhizoma, dioscoreae oppositae rh) (0,05%), fructo-oligosaccharide (FOS).";"Analytische bestanddelen: Vocht 8,0%, Ruw eiwit 30,0%, Ruw vet 17,0%, Ruwe as 5,0%, Ruwe celstof 3,5%. Mineralen: Calcium 0,6%, Fosfor 0,6%, Kalium 0,6%, Magnesium 0,1%, Natrium 0,5%.";"4 kg";;;;"scraped";"https://www.petsplace.nl/prins-vitalcare-senior-12-kattenvoer-8713595710149-pps";
"8713595620158";"Prins Vitalcare Senior Gevogelte";"Prins";"Kat";"Droogvoer";"Senior";"Volledig";"Samenstelling: maïs, gedehydreerd gevogelte (22,0%), maïsgluten, rijst, gevogeltevet, heel eipoeder (3,5%), gedroogde cichoreipulp, rundvet, cellulose, kippenleverhydrolysaat, lijnzaadolie, gist, visolie (0,5%), gisthydrolysaat (bron van bèta-glucanen) (500mg/kg), inuline.";"Analytische bestanddelen: Vocht 9,0%, Ruw eiwit 28,0%, Ruw vet 15,0%, Ruwe as 6,7%, Ruwe celstof 3,3%. Mineralen: Calcium 1,0%, Fosfor 0,9%, Kalium 0,64%, Magnesium 0,09%, Natrium 0,61%.";"";;;;"scraped";"https://www.petsplace.nl/prins-vitalcare-senior-kattenvoer-m-8713595620158-pps";
"8713595690144";"Prins Vitalcare Sensitive - Haring 4 kg";"Prins";"Kat";"Droogvoer";"Volwassen";"Volledig";"Samenstelling: gedehydreerde haring (26,0%), maïs, maïsgluten, gevogeltevet, rijst, gedroogde cichoreipulp, gehydrolyseerde kippenlever, rundervet, cellulose, visolie, gist, inuline (0,5%), mineralen, fructo-oligosacharide (FOS) (0,04%).";"Analytische bestanddelen: Vocht 9,0%, Ruw eiwit 31,5%, Ruw vet 20,0%, Ruwe as 7,7%, Ruwe celstof 3,2%, Linolzuur 3,5%. Mineralen: Calcium 0,9%, Fosfor 0,8%, Kalium 0,7%, Magnesium 0,1%, Natrium 0,5%.";"4 kg";;;;"scraped";"https://www.petsplace.nl/prins-vitalcare-sensitive-kattenvoer-8713595690144-pps";
"8713595841461";"Prins Veterinary Diet Procare Croque Diet Gastro-Intestinal Zalm";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: mais, gehydrolyseerde zalm (17%), rijst, gehydrolyseerde lever, dierlijke vetten (gevogelte), dicalciumfosfaat, zalmolie, kaliumchloride, natriumchloride, lijnzaadolie, calciumcarbonaat, mannan-oligosacchariden (0.5%), inuline (0.3%), cholinechloride, enterococcus faecium (0.02%).";"Analytische bestanddelen: vocht 8.0%, ruw eiwit 22.0%, ruw vet 7.0%, essentiële vetzuren 2.5%, omega-3 vetzuren 0,86%, ruwe as 6.1%, ruwe celstof 1.8%. Mineralen: calcium 0.6%, fosfor 0.5%, kalium 0.8%, magnesium 0.1%, natrium 0.3%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-croque-diet-gastro-intestinal-hondenvoer-m-8713595841461-pps";
"8713595848460";"Prins Veterinary Diet Procare Croque Diet Gewichtscontrole&Diabetes Gevogelte";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerd gevogelte, dierlijk eiwitextract, cellulose, maïs, gedehydreerde aardappel, gedehydreerde bietenpulp, gerst, gedehydreerde appel, aardappeleiwit, gevogeltevet, gevogelte eiwithydrolysaat, rundvet, gist, gehydrolyseerde kippenlever, zalmolie.";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 30,0%, ruw vet 10,0%, essentiële vetzuren 1,6%, zetmeel 18,0%, suikers totaal 1,7%, overige koolhydraten 30,0%, ruwe as 6,0%, ruwe celstof 16,0%, energiegehalte 2.697 kcal/kg. Mineralen: calcium 1,1%, fosfor 0,7%, kalium 0,6%, magnesium 0,1%, natrium 0,3%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-croque-diet-gewichtscontrole-diabetes-hondenvoer-m-8713595848460-pps";
"8713595843465";"Prins Veterinary Diet Procare Croque Diet Mobility Gevogelte";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerd gevogelte, rijst, maïs, gerst, gedroogde bietenpulp, lijnzaadolie, zalmolie, rijstzemelen, gelatine hydrolysaat (2.5%), gist, lijnzaad, dierlijk vet (gevogelte), gehydrolyseerde kippenlever, mineralen, extract van schaal- en weekdieren (bron van glucosamine) (0.15%), gistextract (bron van bèta-glucanen) (0.08%), chondroïtine sulfaat (0.01%).";"Analytische bestanddelen: vocht 8.0%, ruw eiwit 32.0%, ruw vet 14.0%, essentiële vetzuren 3.5%, totaal omega-3 vetzuren 1.1%, omega-3 vetzuur DHA 0.4%, ruwe as 7.0%, ruwe celstof 5.0%, energie 3.900 kcal, totaal methionine 0.84%, totaal vitamine E 0.06%. Mineralen: calcium 1.4%, fosfor 1.1%, kalium 0.8%, magnesium 0.1%, natrium 0.3%, mangaan 0.005%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-croque-diet-mobility-hondenvoer-m-8713595843465-pps";
"8713595845469";"Prins Veterinary Diet Procare Croque Diet Renal & Liver Support Gevogelte";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: maïs, maïsgluten, gerst, rijst, gedehydreerd gevogelte, gevogeltevet, visolie (5,9%), gedroogde bietenpulp, gehydrolyseerde kippenlever.";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 18,0%, ruw vet 17,0%, Essentiële vetzuren 3,4%, ruwe as 3,9%, ruwe celstof 2,6%. Mineralen: calcium 0,5%, fosfor 0,4%, kalium 0,5%, magnesium 0,09%, natrium 0,08%, koper 4,3 mg.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-croque-diet-renal-liver-support-hondenvoer-m-8713595845469-pps";
"8713595847463";"Prins Veterinary Diet Procare Croque Diet Urinary";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: rijst, mais, dierlijk eiwitextract, dierlijke vetten (gevogelte), gerst, gehydrolyseerde kippenlever, zalmolie, natriumchloride, kaliumchloride, lijnzaadolie, cranberries (0.5%), inuline, cholinechloride, yucca schidigera extract.";"Analytische bestanddelen: vocht 8.0%, ruw eiwit 18.0%, ruw vet 18.0%, ruwe as 3.1%, ruwe celstof 1.5%, totaal vitamine D 2.070 IE/kg. Mineralen: calcium 0.4%, fosfor 0.4%, kalium 0.6%, magnesium 0.06%, natrium 0.5%, chloride 0.5%, zwavel 0.2%, hydroxyproline 0.53%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-croque-diet-urinary-hondenvoer-m-8713595847463-pps";
"8713595846466";"Prins Veterinary Diet Procare Diet Croque Skin Support Eend";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: rijst, gedehydreerde eend (26,0%), zalmolie (5,0%), rundvet, gevogeltevet, gedroogde bietenpulp, lijnzaad, inuline (0,5%), gehydrolyseerde lever.";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 23,0%, ruw vet 15,0%, ruwe as 7,3%, ruwe celstof 2,7%, linolzuur 1,7%, EPA & DHA 0,38%. Mineralen: calcium 1,2%, fosfor 1,0%, kalium 0,6%, magnesium 0,1%, natrium 0,35%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-diet-croque-skin-support-hondenvoer-m-8713595846466-pps";
"8713595800468";"Prins Veterinary Diet Procare Gewichtscontrole & Diabetes";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerd gevogelte, mais, cellulose, gevogelte eiwithydrolysaat, rijst, maisgluten, gedroogde cichoreipulp, rundvet, zonnebloemolie, fructo-oligosachariden (FOS), algenolie, gisthydrolysaat.";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 30,0%, ruw vet 8,5%, essentiële vetzuren 1,7%, zetmeel 18,0%, suikers totaal 1,4%, overige koolhydraten 32,5%, ruwe as 7,5%, ruwe celstof 14,5%, energiegehalte 2706 kcal/kg. Mineralen: calcium 1,3%, fosfor 1,0%, kalium 0,6%, magnesium 0,1%, natrium 0,4%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-gewichtscontrole-diabetes-hondenvoer-m-8713595800468-pps";
"8713595810467";"Prins Veterinary Diet Procare Spieren & Gewrichten";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerd gevogelte, tarwe, maïs, rijst, gedroogde cichoreipulp, lijnzaadolie, gevogelte eiwithydrolysaat, gelatine hydrolysaat (2,5%), algenolie (2,0%), gisthydrolysaat, extract van schaal- en weekdieren (bron van glucosamine) (0,15%), gistextract (bron van bèta-glucanen) (0,08%), plantaardige olie, fructo-oligosachariden (FOS), chondroïtine sulfaat (0,01%).";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 26,0%, ruw vet 13,5%, totaal omega 3-vetzuren 3,0%, EPA 0,5%, ruwe as 7,3%, ruwe celstof 5,3%, vitamine E 0,05%, Energiegehalte 3.550 kcal/kg. Mineralen: calcium 1,4%, fosfor 1,0%, kalium 0,6%, magnesium 0,1%, natrium 0,3%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-spieren-gewrichten-hondenvoer-m-8713595810467-pps";
"8713595810122";"Prins Veterinary Diet Procare Veterinary Diet Mobility Kip";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerd gevogelte, tarwe, maïs, rijst, gedroogde cichoreipulp, lijnzaadolie, gevogelte eiwithydrolysaat, gelatine hydrolysaat (2,5%), algenolie (2,0%), gisthydrolysaat, extract van schaal- en weekdieren (bron van glucosamine) (0,15%), gistextract (bron van bèta-glucanen) (0,08%), plantaardige olie, fructo-oligosachariden (FOS), chondroïtine sulfaat (0,01%).";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 26,0%, ruw vet 13,5%, totaal omega 3-vetzuren 3,0%, EPA 0,5%, ruwe as 7,3%, ruwe celstof 5,3%, vitamine E 0,05%, Energiegehalte 3.550 kcal/kg. Mineralen: calcium 1,4%, fosfor 1,0%, kalium 0,6%, magnesium 0,1%, natrium 0,3%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-veterinary-diet-mobility-hondenvoer-m-8713595810122-pps";
"8713595821128";"Prins Veterinary Diet Procare Veterinary Diet Skin Support Eend";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerde eend (30,0%), mais, rijst, gedroogde cichoreipulp, zonnebloemolie, rundvet, algenolie (2,0%), cellulose, fructo-oligosachariden (FOS), kaliumchloride.";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 26,0%, ruw vet 13,5%, totaal omega 3-vetzuren 3,0%, EPA 0,5%, ruwe as 7,3%, ruwe celstof 5,3%, vitamine E 0,05%, Energiegehalte 3.550 kcal/kg. Mineralen: calcium 1,4%, fosfor 1,0%, kalium 0,6%, magnesium 0,1%, natrium 0,3%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procare-veterinary-diet-skin-support-hondenvoer-m-8713595821128-pps";
"8713595800123";"Prins Veterinary Diet Procarepressed Diet Weight Reduction&Diabetic - Gevogelte 12 kg";"Prins Veterinary Diet";"Hond";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: gedehydreerd gevogelte, mais, cellulose, gevogelte eiwithydrolysaat, rijst, maisgluten, gedroogde cichoreipulp, rundvet, zonnebloemolie, fructo-oligosachariden (FOS), algenolie, gisthydrolysaat.";"Analytische bestanddelen: vocht 8,0%, ruw eiwit 30,0%, ruw vet 8,5%, essentiële vetzuren 1,7%, zetmeel 18,0%, suikers totaal 1,4%, overige koolhydraten 32,5%, ruwe as 7,5%, ruwe celstof 14,5%, energiegehalte 2706 kcal/kg. Mineralen: calcium 1,3%, fosfor 1,0%, kalium 0,6%, magnesium 0,1%, natrium 0,4%.";"12 kg";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-procarepressed-diet-weight-reduction-diabetic-hondenvoer-8713595800123-pps";
"8713595771072";"Prins Veterinary Diet Vitalcare Diet Gastro-Intestinal Zalm";"Prins Veterinary Diet";"Kat";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: Gehydrolyseerde zalm, mais, rijst, dierlijke vetten (gevogelte), gehydrolyseerde lever, dicalciumfosfaat, kaliumchloride, zalmolie, lijnzaadolie, mannan-oligosacchariden (0.5%), natriumchloride, cholinechloride, calciumcarbonaat, inuline (0.3%), enterococcus faecium (0.02%), yucca schidigera extract (0.015%).";"Analytische bestanddelen: Vocht 8.0%, Ruw eiwit 32.0%, Ruw vet 12.0%, essentiële vetzuren 3.3%, omega-3 vetzuren 1.14%, Ruwe as 7.5%, Ruwe celstof 1.1%. Mineralen: Calcium 0.6%, Fosfor 0.6%, Kalium 0.9%, Magnesium 0.1%, Natrium 0.3%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-vitalcare-diet-gastro-intestinal-kattenvoer-m-8713595771072-pps";
"8713595760076";"Prins Veterinary Diet Vitalcare Diet Hypo";"Prins Veterinary Diet";"Kat";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: rijst, gedehydreerde garnalen (16%), aardappeleiwit (16%), dierlijk vet (gevogelte, rund), gedroogde bietenpulp, gedroogde appel, zalmolie (2.5%), gehydrolyseerde kippenlever, mineralen (kaliumchloride, monocalciumfosfaat), mannan-oligosaccharide (MOS)(0.5%), inuline (bron van FOS) (0.5%).";"Analytische bestanddelen: Vocht 9.0%, Ruw eiwit 27.0%, Ruw vet 16.0%, Essentiële vetzuren 4.0% Ruwe as 7.0%, Ruwe celstof 2.5%. Mineralen: Calcium 0.9%, Fosfor 0.8%, Kalium 0.8%, Magnesium 0.1%, Natrium 0.5%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-vitalcare-diet-hypo-kattenvoer-m-8713595760076-pps";
"8713595773076";"Prins Veterinary Diet Vitalcare Diet Mobility Gevogelte";"Prins Veterinary Diet";"Kat";"Droogvoer";"Volwassen";"Dieetvoer (dierenarts)";"Samenstelling: Gedehydreerde kip, rijst, mais, gerst, bietenpulp, gelatinehydrolysaat (5%), maïsgluten, dierlijke vetten (gevogelte), cellulose, zalmolie (3,5%), gehydrolyseerde kippenlever, kaliumchloride, lijnzaadolie, cholinechloride, beta-glucanen (0.08%), glucosamine (0.05%), chondroïtine (0.05%), yucca schidigera extract.";"Analytische bestanddelen: Vocht 8.0%, Ruw eiwit 32.0%, Ruw vet 14.0%, essentiële vetzuren 3.5%, totaal omega-3 vetzuren 1.1%, omega-3 vetzuur DHA 0.4%, Ruwe as 7.0%, Ruwe celstof 5.0%, Energie 3900kcal, totaal methionine 0.84%, totaal vitamine E 0.06%. Mineralen: Calcium 1.4%, Fosfor 1.1%, Kalium 0.8%, Magnesium 0.1%, Natrium 0.3%, Mangaan 0.005%.";"";;;;"scraped";"https://www.petsplace.nl/prins-veterinary-diet-vitalcare-diet-mobility-kattenvoer-m-8713595773076-pps";
